Event Index,Is Tau
0,"[1, 1, 0]"
1,"[0, 1, 1]"
2,"[1, 1, 0]"
3,"[1, 0, 1, 0, 0]"
4,"[1, 0, 1]"
5,"[1, 0, 1]"
6,"[1, 1, 0]"
7,"[0, 1, 1]"
8,"[1, 1, 0]"
9,"[1, 1, 0]"
10,"[1, 1, 0, 0]"
11,"[0, 1, 1]"
12,"[1, 1, 0]"
13,"[1, 1, 0]"
14,"[1, 1, 0, 0]"
15,"[1, 1, 0]"
16,"[0, 1, 1]"
17,"[1, 1, 0]"
18,"[1, 0, 1]"
19,"[1, 0, 0, 1, 1]"
20,"[0, 1, 1]"
21,"[0, 1, 1]"
22,"[1, 0, 1]"
23,"[1, 1, 0]"
24,"[0, 1, 1]"
25,"[0, 1, 1]"
26,"[1, 1, 0]"
27,"[1, 1, 0]"
28,"[1, 0, 1]"
29,"[1, 1, 0]"
30,"[1, 1, 0]"
31,"[1, 1, 0]"
32,"[1, 0, 1]"
33,"[1, 1, 0, 1, 0]"
34,"[1, 0, 1]"
35,"[1, 1, 0, 0, 0, 0]"
36,"[1, 0, 1]"
37,"[1, 0, 1]"
38,"[1, 0, 1]"
39,"[1, 0, 1]"
40,"[1, 1, 0]"
41,"[1, 1, 0]"
42,"[1, 1, 0]"
43,"[1, 1, 0]"
44,"[1, 1, 0, 0]"
45,"[1, 1, 0]"
46,"[0, 1, 1]"
47,"[1, 0, 1]"
48,"[1, 1, 0, 0]"
49,"[0, 0, 1, 1]"
50,"[1, 1, 0]"
51,"[1, 1, 0]"
52,"[1, 1, 0]"
53,"[1, 1, 0]"
54,"[1, 1, 0]"
55,"[1, 0, 1]"
56,"[1, 1, 0]"
57,"[0, 1, 1]"
58,"[1, 1, 0]"
59,"[0, 1, 1]"
60,"[1, 1, 0]"
61,"[0, 1, 1]"
62,"[1, 1, 0]"
63,"[1, 1, 0]"
64,"[1, 1, 0]"
65,"[1, 1, 0]"
66,"[1, 1, 0]"
67,"[1, 1, 0]"
68,"[1, 1, 0]"
69,"[1, 0, 1]"
70,"[1, 1, 0]"
71,"[1, 1, 0]"
72,"[1, 1, 0]"
73,"[1, 0, 1]"
74,"[1, 0, 1]"
75,"[1, 1, 0]"
76,"[1, 0, 1]"
77,"[1, 0, 1]"
78,"[1, 1, 0]"
79,"[1, 0, 1]"
80,"[1, 1, 0]"
81,"[1, 1, 0]"
82,"[1, 0, 1, 0]"
83,"[1, 1, 1]"
84,"[1, 0, 1]"
85,"[1, 1, 0]"
86,"[0, 1, 1]"
87,"[1, 1, 0]"
88,"[1, 1, 0]"
89,"[1, 0, 1]"
90,"[1, 0, 1]"
91,"[1, 0, 1]"
92,"[1, 0, 1, 0]"
93,"[1, 0, 1]"
94,"[1, 0, 1]"
95,"[1, 1, 0, 0]"
96,"[1, 1, 0]"
97,"[1, 0, 1]"
98,"[1, 0, 1, 0]"
99,"[1, 1, 0]"
100,"[1, 1, 0]"
101,"[0, 1, 1]"
102,"[1, 0, 1, 0]"
103,"[1, 0, 1]"
104,"[1, 1, 1]"
105,"[0, 1, 1]"
106,"[1, 0, 1, 0]"
107,"[1, 0, 1]"
108,"[1, 1, 0]"
109,"[1, 1, 0]"
110,"[1, 1, 0]"
111,"[0, 1, 1]"
112,"[0, 1, 1]"
113,"[1, 0, 1]"
114,"[1, 0, 1]"
115,"[0, 1, 0, 1]"
116,"[1, 1, 0]"
117,"[1, 1, 0]"
118,"[1, 1, 0]"
119,"[0, 1, 1]"
120,"[1, 0, 1]"
121,"[1, 1, 0]"
122,"[1, 0, 1]"
123,"[1, 1, 0]"
124,"[1, 1, 0]"
125,"[1, 0, 1]"
126,"[1, 0, 0, 1]"
127,"[1, 1, 0]"
128,"[1, 0, 1, 0]"
129,"[1, 0, 1]"
130,"[1, 1, 0]"
131,"[1, 1, 0]"
132,"[1, 1, 0]"
133,"[1, 1, 0]"
134,"[1, 0, 1]"
135,"[1, 1, 0]"
136,"[1, 1, 0]"
137,"[0, 1, 1]"
138,"[1, 0, 1]"
139,"[1, 0, 0, 0, 1]"
140,"[1, 1, 0]"
141,"[1, 0, 1]"
142,"[1, 1, 0]"
143,"[0, 1, 1]"
144,"[1, 0, 1, 0]"
145,"[1, 1, 0]"
146,"[1, 1, 0]"
147,"[1, 1, 0]"
148,"[1, 0, 1]"
149,"[1, 0, 1]"
150,"[1, 1, 0]"
151,"[1, 1, 0]"
152,"[1, 0, 1]"
153,"[1, 1, 0]"
154,"[1, 1, 0]"
155,"[1, 1, 0]"
156,"[1, 0, 1]"
157,"[1, 1, 0]"
158,"[1, 1, 0]"
159,"[1, 1, 1]"
160,"[0, 1, 1]"
161,"[1, 1, 0]"
162,"[0, 0, 1, 1]"
163,"[1, 0, 1]"
164,"[1, 1, 0]"
165,"[1, 0, 1, 0]"
166,"[1, 1, 0]"
167,"[1, 1, 0]"
168,"[1, 1, 0]"
169,"[1, 1, 0]"
170,"[0, 1, 1]"
171,"[1, 1, 1]"
172,"[1, 0, 1]"
173,"[1, 1, 0]"
174,"[1, 0, 1]"
175,"[1, 0, 0, 1]"
176,"[1, 0, 1]"
177,"[1, 0, 1]"
178,"[1, 1, 0]"
179,"[1, 1, 0, 0]"
180,"[1, 0, 1]"
181,"[1, 0, 1]"
182,"[0, 1, 1]"
183,"[1, 1, 0]"
184,"[1, 1, 0]"
185,"[1, 0, 1, 0]"
186,"[1, 1, 0]"
187,"[0, 1, 0, 1]"
188,"[0, 1, 1]"
189,"[1, 1, 0]"
190,"[1, 0, 1]"
191,"[1, 1, 0]"
192,"[1, 1, 0]"
193,"[1, 1, 0]"
194,"[1, 1, 0]"
195,"[1, 1, 0]"
196,"[0, 1, 1]"
197,"[1, 1, 1]"
198,"[0, 1, 1]"
199,"[1, 0, 1]"
200,"[0, 1, 1]"
201,"[1, 1, 0]"
202,"[1, 0, 1, 0]"
203,"[1, 1, 0]"
204,"[1, 1, 0]"
205,"[1, 1, 1]"
206,"[1, 1, 0]"
207,"[1, 1, 0]"
208,"[1, 0, 1]"
209,"[1, 0, 1]"
210,"[1, 1, 0]"
211,"[1, 0, 1]"
212,"[1, 1, 0]"
213,"[1, 1, 0]"
214,"[1, 1, 0]"
215,"[1, 1, 1]"
216,"[1, 1, 0]"
217,"[1, 1, 0]"
